"Lightbox Pro","Lightbox Pro"
"General","General"
"Enable Lightbox Pro","Activar Lightbox Pro"
"Outline Type","Tipo de esquema "
"beveled","Biselado"
"drop-shadow","Gota- sombra"
"glossy-dark","Brillante - oscuro"
"outer-glow","Resplandor exterior"
"rounded-black","Redondeado negro"
"rounded-white","Redondeado blanco"
"Gallery","Galería"
"Controls","Controles"
"Preset style","Estilo predefinido"
"None","Ninguno"
"Large white buttons","Grandes botones blancos"
"Small white buttons","Pequeños botones blancos"
"Large dark buttons","Grandes botones oscuros "
"White buttons with text","Botones blancos con texto"
"Position","Posición"
"above","Arriba"
"top left","Arriba a la izquierda"
"top","Superior"
"top center","Superior central"
"top rigth","Arriba a la derecha"
"leftpanel","Panel izquierdo"
"left","Izquierda"
"middle left","Medio izquierdo"
"middle center","Centro medio"
"middle right","Centro derecha"
"right","Derecho"
"rightpanel","Panel izquierdo"
"bottom left","Abajo a la izquierda"
"bottom center","Abajo al centro"
"bottom right","Abajo a la derecha"
"below","Abajo"
"Opacity","Opacidad"
"X offset","Compensación X "
"Y offset","Compensación Y "
"Hide controls on mouse out","Ocultar controles fuera del ratón"
"Numbers","Números"
"Numbers position","Posición de los números"
"heading","Título"
"caption","Subtítulo"
"Thumbstrip","Thumbstrip"
"Enable","Activar"
"Horizontal","Horizontal"
"Vertical","Vertical"
"Float","Flotar"
"Image","Imagen"
"Viewport","Ver puerto"
"Behaviour","Comportamiento"
"Keep controls fixed","Mantén los controles fijados"
"Repeat slideshow","Repetir la presentación"
"Interval","Intervalo"
"Autoplay slideshow","Reproducción automática de la diapositiva"
"Inner Html Widget","Dispositivo Html interior"
"Size","Tamaño"
"Width","Ancho"
"Title bar","Barra de título"
"Title Source","Fuente de título "
"A given string","Una serie dada"
"Anchor'rs title attribute","Atributo del ancla de título"
"Anchor'rs inner HTML","Ancla del HTML interno"
"Style","Estilo"
"Dimming","Atenuación"
"Apply page dimming mask","Aplicar máscara de oscurecimiento de página"
"Animation","Animación"
"Explanation label","Etiqueta de explicación"
"easyInQuad","easyInQuad"
"linearTween","linearTween"
"easyInCirc","easyInCirc"
"easyInBack/easeOutBack","easyInBack / easeOutBack"
"Popup size and aligment","Tamaño de mensaje automático y alineamiento"
"Anchor","Ancla"
"Auto","Auto"
"Center","Centro"
"Thumbnail top","Icono arriba"
"Thumbnail top right","Icono arriba a la derecha"
"Thumbnail right","Icono a la derecha"
"Thumbnail bottom right","Iono al fondo a la derecha"
"Thumbnail bottom","Icono al fondo"
"Thumbnail bottom left","Icono al fondo a la izquierda"
"Thumbnail left","Icono a la izquierda"
"Thumbnail top left","Icono arriba a la izquierda"
"Align","Alinear"
"Yes-'center' override anchor, No-'auto'","Sí, ""centro"" ancla por encima, No- 'auto'"
"Height","Altura"
"Allow size reduction","Permitir reducción de tamaño"
"Pad to minimum width","Rellenar al ancho mínimo"
"Advanced behaviour","Comportamiento avanzado"
"Allow multiple popups at the same timen","Permitir múltiples mensajes automáticos al mismo tiempo"
"Block right clicks on the popup image","Bloquear clic derecho sobre la imagen del mensaje automático"
"Enable shortcut keys","Habilitar teclas de acceso directo"
"Number of images to preload","Número de imágenes para pre-cargar"
"Overlays","Superposiciones"
"Caption","Subtítulo"
"Source","Fuente"
"Anchor's title ","El título del ancla"
"Thumbnail's alt","Altura del icono"
"Thumbnail's title","Título del icono"
"Subsequent div","div posterior"
"Relative","Relativo"
"Heading","Título"
"Close button","Botón Cerrar"
"Tooltip","Consejo de herramienta"
"Title","Título"
"Content","Contenido"
"LightboxPro Inner Html","Html interno LightboxPro "
"LightboxPro Image","Imagen LightboxPro "
"Image title","Título de la imagen"
"Thumbnail Width","Ancho del icono"
"Thumbnail Height","Alto del icono"
"LightboxPro Gallery","Galería LightboxPro "
