"Add Menu","Añadir Menú"
"New Menu","Nuevo menú"
"Add New Column","Agregar nueva columna"
"Add New Sibling","Añadir nuevo hermano"
"Dropdown Content","Contenido desplegable"
"Dropdown top content","Contenido destacado desplegable"
"Dropdown bottom content","Contenido inferior desplegable"
"Display in navigation","Mostrar en la navegación"
"Useful, if you want to make 'Catalog' menu item with list of all categories in dropdown.","Útil, si quieres hacer un menú de ' Catálogo ' del artículo con la lista de todas las categorías en un desplegable."
"Top Level Categories Options (See the 'Submenu global preferences' tab to setup nested levels)","Opciones del nivel superior de categorías (Ver la ficha "" del submenú de preferencias globales para configurar niveles anidados)"
"Set this value to max level count, to use menu as fully expanded menu without dropdowns (100 - whould be enough)","Establecer este valor en cuenta del nivel máximo, para utilizar el menú como menú totalmente expandido y sin menús desplegables (100 - Serán suficientes)"
"Style","Estilo"
"Menu Data","Datos del menú"
"Siblings","Hermanos"
"Submenu global preferences","Preferencias globales del submenú"
"Dropdown columns","Columnas desplegables"
"Manage Menu","Administrar menú"
"The menu has been deleted.","El menú ha sido borrado."
"An error occurred while trying to delete the menu.","Se ha producido un error al intentar eliminar el menú."
"Navigation Pro","Navigation Pro"
"Top","Superior"
"Menu","Menú"
"Dropdown Side","Lado desplegable"
"Left","Izquierdo"
"Right","Derecho"
"Use Parent Menu Preferences","Usar Preferencias del menú principal"
"Use Root Menu Preferences","Utilice Preferencias de menú raíz"
"Custom","Estilo"
"Horizontal","Horizontal"
"Vertical","Vertical"
"Dropdown","Desplegable"
"Accordion","Acordeón"
"Subcategories","Sub-categorías"
"Layered Navigation","Navegación por capas"
"Widget or Plain Html","Dispositivo o la versión HTML simplificada"
"Navigation","Navegación"
"Are you sure you want to delete this menu?","¿Estás seguro que deseas eliminar este menú?"
"Mode","Modo"
"Columns","Columnas"
"Width, px","Ancho, px"
"Per column for subcategories type","Por columna para el tipo de sub-categorías"
"Columns Count","Columnas que cuentan"
"Show Detailed Configuration","Mostrar configuración detallada"
"Levels Per Dropdown","Niveles Por desplegable"
"Levels to Load","Niveles para cargar"
"Items Direction","Dirección de artículos "
"Affects, when columns count is more than one. Otherwise, you will not see the difference","Afecta, cuando el recuento de columnas es más de uno. De lo contrario, no podrás ver la diferencia"
"Max items count to show per column","Máximo de artículos que se cuentan para mostrar por columna"
"Leave empty, to show all items","Dejar en blanco para mostrar todos los elementos"
"Css Id","Css Id"
"Css Class","Clase de Css "
"Css Styles","Estilos de Css"
"Use value below 0, to insert item before category","Utiliza el valor por debajo de 0, para insertar el artículo antes de la categoría"
"Dropdown css styles","Estilos css desplegables"
"Example","Ejemplo"
