"Enabled ProLabel","Activador ProLabel"
"Display","Mostrar"
"Position","Posición"
"Image","Imagen"
"Label Style (Rewrite position config value)","Estilo de etiqueta (reescribir el valor de la posición de la configuración)"
"Image text","Texto de la imagen"
"Min Items In Stock","Min Artículos en serie"
"Attribute code","Código del atributo"
"General","General"
"Product On Sale Label","Etiqueta del producto en venta "
"Product Items In Stock Label","Artículos del producto con etiqueta de serie"
"Product Recommended Label","Etiqueta de producto recomendada"
"Product New Label","Nueva etiqueta del producto"
"Category On Sale Label","Etiqueta de categoría en venta"
"Category Items In Stock Label","Categoría de artículos con etiqueta de serie"
"Category Recommended Label","Etiqueta de categoría recomendada"
"Category New Product Label","Etiqueta de la categoría del nuevo producto"
"top-left","Superior izquierdo"
"top-center","Superior central"
"top-right","Superior derecho"
"middle-left","Medio izquierdo"
"middle-center","Medio -centro"
"middle-right","Centro -derecha"
"bottom-left","Inferior izquierdo"
"bottom-center","Inferior central"
"bottom-right","Inferior derecho"
"recommended","Recomendado"
"ProLabel Product","Producto ProLabel "
"ProLabel Category","Categoría ProLabel "
"Position style","Estilo de Posición"
"Font Style","Estilo de fuente"
"years","Años"
"year","Año"
"months","Meses"
"month","Mes"
"weeks","Semanas"
"week","Semana"
"days","Días"
"day","Día"
"hours","Horas"
"hour","Hora"
"minuts","Minutos"
"minut","Minuto"
"seconds","Segundos"
"second","Segundo"
"Math","Math"
"Ceil","Ceil"
"Floor","Nivel"
"Manage System Labels","Gestionar etiquetas del sistema"
"Add On Sale Label","Agregar en etiqueta de venta"
"Add In Stock Label","Agregar en etiqueta de serie"
"Add Is New Label","Agregar como nueva etiqueta"
"Reindex Labels","Re-indexar etiquetas"
"Manage Labels","Gestionar etiquetas"
"Add Label","Añadir etiqueta"
"ID","ID"
"Name","Nombre"
"Store View","Ver tienda"
"Enabled","Activado"
"Save Label","Guardar etiqueta"
"Delete Label","Eliminar etiqueta"
"Save And Apply","Guardar y Aplicar"
"Apply","Aplicar"
"Edit Label '%s'","Editar etiqueta '% s '"
"Label Information","Información de la etiqueta"
"Content (Product Page)","Contenido (página del producto)"
"Content (Category Page)","Contenido (Categoría de la página)"
"Conditions","Condiciones"
"Indexed Products","Productos indexados"
"Display if Stock is lower then","Mostrar si la acción es menor que"
"Enable Out of stock label","Habilitar etiqueta agotada"
"Out of stock Image","Fuera de Imagen estándar"
"Out Of Stock Label Text","Fuera de texto de etiqueta estándar"
"System","Sistema"
"Status","Estado"
"Disabled","Deshabilitado"
"System Label","Sistema de etiqueta"
"On Sale","A la venta"
"In Stock","En reserva"
"Is New","Es Nuevo"
"Save And Continue","Guardar y continuar"
"%s Label Status","% s Etiqueta de estado"
"Templates Master","Plantillas Maestras"
"ProLabels","ProLabels"
"Labels Manager","Administrador de etiquetas "
"This label no longer exists","Esta etiqueta ya no existe"
"Edit Label","Editar etiqueta"
"New Label","Nueva etiqueta"
"Label was successfully saved","La etiqueta se ha guardado correctamente"
"Label was successfully deleted","La etiqueta se ha eliminado correctamente"
"Unable to find a label to delete","Imposible encontrar una etiqueta para borrar"
"%d customer(s) reindexed","%d cliente (s) re-indexados"
"%d product(s) reindexed","%d producto (s) re-indexados"
"%d product(s) was successfully reindexed","%d productos (s) fueron re-indexados con éxito"
"System Labels Manager","Sistema Gestor de etiquetas"
"Label not saved! Please select other store.","¡Etiqueta no guardada! Por favor, seleccione otra tienda."
"Unable to apply rules.","No es posible aplicar reglas."
"The labels have been applied.","Se han aplicado las etiquetas."
"Manual Labels","Etiquetas manuales"
"System Labels","Las etiquetas del sistema"
"Prolabels Section","Sección Prolabels"
"Templates-master","Plantillas –master"
"Enabled ProLabels","Activar ProLabels"
"Items In Stock Label Settings","Artículos en reserva ajuste de etiquetas"
"Enable Out Of Stock","Habilitar fuera de reserva"
"up to ","Hasta"
