"Action","Action"
"Add Answer","Ajouter une réponse"
"Add Answers","Ajouter des réponses"
"Add Item","Ajouter un article"
"Add New Answer","Ajouter une nouvelle réponse"
"Add New Question","Ajouter une nouvelle question"
"Allow customers comment","Autoriser les commentaires des clients"
"Allow customer vote","Autoriser les votes des clients"
"Allow guest to ask questions","Autoriser les invités à poser des questions"
"Allow vote","Autoriser le vote"
"Answer","Réponse"
"Answer information","Information sur la réponse"
"Answers:","Réponses: "
"Answers","Réponses"
"Approved","Approuvé"
"Are you sure?","Etes-vous sûr? "
"Ask a question and Give an answer. Help your fellow customer.","Poser une question et donner une réponse. Aider votre client."
"Ask a Question","Poser une Question"
"Ask a question","Poser une question"
"Ask a question (%d)","Poser une question (%d)"
"Ask Information","Demander une information"
"AskIt","Askit"
"Askit Product Questions ","Posez des questions sur le produit ASKIT"
"Ask Your Question","Posez votre question"
"Be the first to ask a question about this product","Soyez le premier à poser une question sur ce porduit"
"Can you answer these question?","Pouvez-vous répondre à cette question?"
"Category","Catégorie"
"Category Questions – %s","Questions Catégorie – %s"
"Change status","Changer le statut"
"Close","Fermer"
"Closed","Fermé"
"Cms Page Questions – %s","Cms de la page questions – %s"
"Count Answers","Nombre de réponses"
"Count question show on product page","Nombre de questions montrées sur la page du produit"
"Create date","Créer des données"
"CSV","CSV"
"Customer","Personnaliser"
"Default comment status","Statut de commentaire par défaut"
"Default question status","Statut de question par défaut"
"Delete","Effacer"
"Delete Item","Effacer l'article"
"Delete Question","Effacer la question"
"Disapprowed","Désapprouvé"
"Do you have same question?","Avez-vous une question?"
"Edit Answer '%s","Editer la réponse '%s"
"Edit","Editer"
"Edit Item '%s","Editer l'article '%s"
"Email and Name required","Courriel et Nom requis"
"Email","Courriel"
"Email Sender","Transmetteur de courriel"
"Email template (admin notification)","Modèle de courriel (notification admin)"
"Email template (customer notification)","Modèle de courriel (notification client)"
"Enable admin notification","Activer la notification admin"
"Enable AskIt","Activer Askit"
"Enable customer notification","Activer la notification client"
"Enable RSS Feed","Activer le flux RSS"
"General","Général"
"Go to Question","Aller à la question"
"Go to Related Item","Aller à l'article relié"
"Have a question?","Avez-vous une question?"
"Hint","Suggérer"
"ID","ID"
"Item does not exist","L'article n'existe pas"
"Item information","Information sur l'article"
"Item","Article"
"Item Name","Nom de l'article"
"Item News","Nouveautés sur l'article"
"Item Type","Type d'article"
"Item was successfully deleted","L'article a été effacé avec succès"
"Item was successfully saved","L'article a été sauvegardé avec succès"
"Leave a Reply","Laisser une réponse"
"login","login"
"Name","Nom"
"Not Answerred","Pas de réponse"
"Number of question to show on product page","Nombre de questions à montrer sur la page du produit"
"New %ss question was posted : %s","La nouvelle question %ss a été publiée : %s"
"Page","Page"
"Parent Id","Id parent"
"Pending","En attente"
"Please select item(s)","Veuillez sélectionner un/des article/s"
"Please %s to your account to post a question","Veuillez %s sur votre compte pour publier une question"
"Post a private question","Envoyer une question privée"
"Posted by","Publié par"
"Posted by %s on %s","Publié par %s sur %s"
"Posted by %s, %s on %s","Publié par %s, %s sur %s"
"Private","Privé"
"Product Id","Id produit"
"Product Name","Nom du produit"
"Product","Produit"
"Product Questions – %s","Questions sur le produit – %s"
"Product Questions:","Questions sur le produit:"
"Product Questions","Questions sur le produit"
"%ss question was updated : %s","La question %ss a été mise à jour: %s"
"Public","Public"
"Query","Doute"
"Question Manager","Gérer les questions"
"Question:","Question: "
"Question","Question"
"Questions Manager","Gérer les questions"
"Questions:","Questions:"
"Recent questions","Questions récentes"
"* Required Fields","* Champs requis"
"Return back to the product page","Retourner sur la page du produit"
"Rss Feed Title","Titre du flux Rss"
"Save Item","Enregistrer l'article"
"Save Question","Enregistrer la question"
"Send admin notification to","Envoyer une notification admin à"
"Share customer name on frontend","Partager le nom du client sur l'avant"
"Show customer name on frontend","Montrer le nom du client sur l'avant"
"Show product question as block on product page","Montrer la question sur le produit en tant que bloc sur la page du produit"
"Show product question on product page","Montrer la question sur le produit sur la page du produit"
"Sorry, already voted","Désolé, vote déjà comptabilisé"
"Sorry, but we think you\'re a spammer.","Désolé, nous pensons que vous êtes un spammer"
"Sorry, only logined customer can add self answer.","Désolé, uniquement les clients identifiés peuvent ajouter une réponse."
"Sorry, only logined customer can hint.","Désoler, uniquement les clients identifiés peuvent suggérer."
"%s people had same question.","%s des personnes ont posé la même question "
"%s people found this answer helpfull","%s des personnes ont trouvé cette réponse utile"
"Status","Statut"
"Store discussion","Discussion dans le magasin"
"Store View","Vue du magasin"
"Text","Texte"
"There are no product questions yet.","Il n'y a pas encore de questions sur le produit."
"Total of %d record(s) were successfully updated","Un total de %d document(s) a été mis à jour avec succès"
"Unable to find item to save","Impossible de trouver l'article à enregistrer"
"Update date","Mise à jour de la date"
"View all related questions.","Voir toutes les questions liées."
"Vote for It","Votez pour cela"
"Votes","Votes"
"Was this Answer Helpful?","Cette réponse vous a-t-elle été utile?"
"XML","XML"
"Your answer has been accepted","Votre réponse a été validée. "
"Your Answer","Votre réponse"
"Your must login","Vous devez vous identifier"
"Your question has been accepted for moderation","Votre question a été soumise à notre modérateur"
