"Easy Banner","Bannière simple"
"Manage Banners","Gérer les bannières"
"Manage Placeholders","Gérer les espaces réservés"
"Easy Banner Section","Section bannière simple"
"General","Général"
"Name of the folder where the banners will be stored","Nom du dossier dans lequel les bannières seront stockées"
"Folder at MAGENTO_ROOT/media/. Default 'easybanner'","Dossier sur MAGENTO_ROOT/media/. Default 'easybanner'"
"Conditions (leave blank to show on all pages)","Conditions (laisser vide pour afficher toutes les pages)"
"Conditions","Conditions"
"Title","Titres"
"Url","Url"
"Mode","Mode"
"Image","Image"
"Html","Html"
"Content","Contenu"
"General Information","Information générale"
"Hide Url","Cacher l'Url"
"Yes","Oui"
"No","Non"
"Target","Cible"
"Popup","Popup"
"Blank","Vide"
"Self","Self"
"Sort order","Ordre de triage"
"Store View","Vue du magasin"
"Placeholder","Espace réservé"
"Status","Statut"
"Enabled","Activé"
"Disabled","Désactivé"
"Statistics","Statistiques"
"Display Count","Nombre d'affichage"
"Clicks Count","Nombre de clicks"
"Banner Information","Information sur la bannière"
"General Information","Information générale"
"Save Banner","Enregistrer la bannière"
"Delete Banner","Effacer la bannière"
"Save And Continue Edit","Editer Enregistrer et Poursuivre"
"Edit Banner '%s'","Editer la bannière '%s'"
"Add Banner","Ajouter une bannière"
"ID","ID"
"Name","Nom"
"Placeholder Name","Nom de l'Espace réservé"
"Parent Block","Bloc parent"
"Position","Position"
"Banners limit per rotate","Limite de bannières par rotation"
"Slider","Slider"
"Rotator","Rotation"
"Save Placeholder","Enregistrer l'espace réservé"
"Delete Placeholder","Effacer l'espace réservé"
"Edit Placeholder '%s'","Editer l'espace réservé '%s'"
"Add Placeholder","Ajouter un espace réservé"
"Page","Page"
"Manage Placeholders","Gérer les espaces réservés"
"Banner Manager","Gérer la bannière"
"This banner no longer exists","La bannière n'existe plus"
"Edit Banner","Editer la bannière"
"New Banner","Nouvelle bannière"
"Banner was successfully saved","La bannière a été sauvegardée avec succès"
"Banner was successfully deleted","La bannière a été effacée avec succès"
"Unable to find a banner to delete","Impossible de trouver une bannière à effacer"
"Placeholder Manager","Gérer l'espace réservé"
"This placeholder no longer exists","Cet espace réservé n'existe plus"
"Edit Placeholder","Editer l'espace réservé"
"New Placeholder","Nouvel espace réservé"
"Placeholder was successfully deleted","L'espace réservé a été effacé avec succès"
"Unable to find a placeholder to delete","Impossible de trouver un espace réservé à effacer"
"Image file not found","Fichier d'image introuvable"
"Category","Catégorie"
"Product","Produit"
"Date","Date"
"Time","Heure"
"Customer Group","Groupe clientèle"
"Clear Statistics","Effacer statistiques"
"Easybanner Banner","Bannières Easybanner"
"Easybanner Placeholder","Espace réservé Easybanner"
"Select Banner...","Selectionner une bannière…"
"Select Placeholder...","Sélectionner un espace réservé…"
"The banner has been duplicated","La bannière a été dupliquée"
"Sort mode","Mode de triage"
"Random","Aléatoire"
"By Banners Sort Order","Ordre de triage par Bannières"
"Image Options","Options d'image"
"Use image resizer","Utiliser la redimension d'image"
"Actual image size should be twice larger then the entered width and height","La taille de l'image actuelle devrait être deux fois plus large que la largeur et la hauteur entrées"
"Retina support","Support Retina"
"Background color","Couleur de l'arrière plan"
"Html Content","Contenu Html"
