"Recently Viewed","Visionné récemment"
"Bestsellers","Meilleures ventes"
"Featured Products","Produits vedettes"
"New Products","Nouveaux produits"
"Popular Products","Produits populaires"
"Random Products","Produits au hasard"
"Special Products","Produits spéciaux"
"Recent Reviews","Evaluations récentes"
"Highlight: Attribute Date Filter","Highlight: Attribuer un filtre de date"
"Example: news_from_date,news_to_date","Exemple: news_de_date,news_à_date"
"Date Attribute","Attribut de la date"
"Grid Template","Modèle de grille"
"List Template","Modèle de liste"
"Sidebar Grid Template","Modèle de grille sidebar"
"Sidebar List Template","Modèle de liste sidebar"
"Custom Template","Personnaliser le modèle"
"Path to the template. Example: tm/highlight/product/grid.phtml<br/>Works only when previous option is set to 'Custom Template'","Chemin vers le modèle. Exemple: tm/highlight/product/grid.phtml<br/>Marche uniquement si l'option précédente a été choisie ""Personnaliser le modèle"""
"Block Class Name","Nom de la catégorie du bloc"
"Category Filter","Filtre de catégorie"
"Example: 10,15,current - Products from category 10 or 15 or active category","Exemple: 10,15,actuel - Produits à partir de 10 or 15 ou catégorie active"
"Price Filter","Filtre de prix"
"Example: 100,200 - Products with price between 100 and 200","Exemple: 100,200 - Produits avec des prix entre 100 et 200"
"Highlight: Attribute Yes/No Filter","Highlight: Attribuer un filtre Oui/Non"
"Example: featured","Exemple: vedette"
"Yes/No Attribute","Attribut Oui/Non"
"Highlight: Bestseller Products","Highlight: Produits les mieux vendus"
"Highlight: Featured Product","Highlight: Produit vedette"
"Highlight: New Products","Highlight: Nouveaux produits"
"Highlight: Popular Products (Most Viewed)","Highlight: Produits populaires (les plus vus)"
"Highlight: Random Products","Highlight: Produits au hasard"
"Highlight: Recently Reviewed Products","Highlight: Produits évalués récemment"
"Highlight: Recently Viewed Products","Highlight: Produits visionnés récemment"
"Highlight: Special Products","Highlight: Produits spéciaux"
"Product Type Filter","Filtre par type de produit"
"Example: simple,bundle - Show only simple and bundle products","Exemple: simple,paquet - Montrer uniquement les produits ""simple et paquet"""
