"Lightbox Pro","Lightbox Pro"
"General","Général"
"Enable Lightbox Pro","Activer Lightbox Pro"
"Outline Type","Type de contour"
"beveled","Biseauté"
"drop-shadow","Ombre dissipée"
"glossy-dark","Foncé brillant"
"outer-glow","Illuminé à l'extérieur"
"rounded-black","Noir arrondi"
"rounded-white","Blanc arrondi"
"Gallery","Gallerie"
"Controls","Contrôles"
"Preset style","Style prédéfini"
"None","Aucun"
"Large white buttons","Larges boutons blanc"
"Small white buttons","Petits boutons blanc"
"Large dark buttons","Larges boutons sombres"
"White buttons with text","Boutons blanc avec texte"
"Position","Position"
"above","Au-dessus"
"top left","En haut à gauche"
"top","En haut"
"top center","Centré en haut"
"top rigth","En haut à droite"
"leftpanel","Panneau de gauche"
"left","Gauche"
"middle left","Au centre à gauche"
"middle center","Centré"
"middle right","Au centre à droite"
"right","Droite"
"rightpanel","Panneau de droite"
"bottom left","Au fond à gauche"
"bottom center","Centré au fond"
"bottom right","Au fond à droite"
"below","Au-dessous"
"Opacity","Opacité"
"X offset","Compensation X"
"Y offset","Compensation Y"
"Hide controls on mouse out","Cacher les contrôles sur la souris externe"
"Numbers","Nombres"
"Numbers position","Position des nombres"
"heading","Titre"
"caption","Légende"
"Thumbstrip","Thumbstrip"
"Enable","Activer"
"Horizontal","Horizontal"
"Vertical","Vertical"
"Float","Float"
"Image","Image"
"Viewport","Viewport"
"Behaviour","Comportement"
"Keep controls fixed","Garder les contrôles en place"
"Repeat slideshow","Recommencer le slideshow"
"Interval","Intervalle"
"Autoplay slideshow","Défiler automatiquement le slideshow"
"Inner Html Widget","Html Widget interne"
"Size","Taille"
"Width","Largeur"
"Title bar","Barre de titre"
"Title Source","Source du titre"
"A given string","Chaîne donnée"
"Anchor'rs title attribute","Attribut du titre de l'ancre html"
"Anchor'rs inner HTML","Ancre html interne"
"Style","Style"
"Dimming","Atténuation"
"Apply page dimming mask","Appliquer le masque d'atténuation de page"
"Animation","Animation"
"Explanation label","Etiquette d'explication"
"easyInQuad","easyInQuad"
"linearTween","linearTween"
"easyInCirc","easyInCirc"
"easyInBack/easeOutBack","easyInBack/easeOutBack"
"Popup size and aligment","Taille du Popup et alignement"
"Anchor","Ancre html"
"Auto","Auto"
"Center","Centre"
"Thumbnail top","Thumbnail au sommet"
"Thumbnail top right","Thumbnail au sommet à droite"
"Thumbnail right","Thumbnail à droite"
"Thumbnail bottom right","Thumbnail au fond à droite"
"Thumbnail bottom","Thumbnail au fond"
"Thumbnail bottom left","Thumbnail au fond à gauche"
"Thumbnail left","Thumbnail à gauche"
"Thumbnail top left","Thumbnail au sommet à gauche"
"Align","Aligner"
"Yes-'center' override anchor, No-'auto'","Oui-'centre' override anchor, No-'auto'"
"Height","Hauteur"
"Allow size reduction","Autoriser la réduction de taille"
"Pad to minimum width","Bloc de largeur minimal"
"Advanced behaviour","Comportement avançé"
"Allow multiple popups at the same timen","Autoriser les popups multiples au même moment"
"Block right clicks on the popup image","Clics du bloc droit sur l'image popup"
"Enable shortcut keys","Activer les clé shortcut"
"Number of images to preload","Nombre d'images à prétéléchercher"
"Overlays","Revêtements"
"Caption","Légende"
"Source","Source"
"Anchor's title ","Titre de l'ancre html"
"Thumbnail's alt","Alt du Thumbnail"
"Thumbnail's title","Titre du Thumbnail"
"Subsequent div","div suivant"
"Relative","Relatif"
"Heading","Titre"
"Close button","Bouton Fermer"
"Tooltip","Infobulle"
"Title","Titre"
"Content","Contenu"
"LightboxPro Inner Html","Html interne LightboxPro "
"LightboxPro Image","Image LightboxPro"
"Image title","Titre Image"
"Thumbnail Width","Largeur Thumbnail "
"Thumbnail Height","Hauteur Thumbnail "
"LightboxPro Gallery","Gallerie LightboxPro "
