"Add Menu","Ajouter un menu"
"New Menu","Nouveau Menu"
"Add New Column","Ajouter une nouvelle colonne"
"Add New Sibling","Ajouter un contenu frère"
"Dropdown Content","Dérouler le contenu"
"Dropdown top content","Dérouler le contenu du haut"
"Dropdown bottom content","Dérouler le contenu du bas"
"Display in navigation","Affichage en navigation"
"Useful, if you want to make 'Catalog' menu item with list of all categories in dropdown.","Utile, si vous souhaitez faire le menu ""Catalogue"" avec un déroulement de toutes les catégories"
"Top Level Categories Options (See the 'Submenu global preferences' tab to setup nested levels)","Options des catégories de Top Niveau (Regarder le tableau ""préférences générales du sous-menu"" pour mettre en place les niveaux imbriqués"
"Set this value to max level count, to use menu as fully expanded menu without dropdowns (100 - whould be enough)","Mettre cette valeur dans le compte de niveau maximum, pour utiliser le menu en extension complète sans déroulement (100 - sera suffisant)"
"Style","Style"
"Menu Data","Données du menu"
"Siblings","Contenus frères"
"Submenu global preferences","Préférences générales du sous-menu"
"Dropdown columns","Colonnes déroulantes"
"Manage Menu","Gérer le menu"
"The menu has been deleted.","Le menu a été effacé"
"An error occurred while trying to delete the menu.","Une erreur est apparue lors de l'effacement du menu"
"Navigation Pro","Navigation Pro"
"Top","Sommet"
"Menu","Menu"
"Dropdown Side","Côté du déroulement"
"Left","Gauche"
"Right","Droite"
"Use Parent Menu Preferences","Utiliser les préférences du menu parent"
"Use Root Menu Preferences","Utiliser les préférences du menu source"
"Custom","Personnaliser"
"Horizontal","Horizontal"
"Vertical","Vertical"
"Dropdown","Dérouler"
"Accordion","Accordéon"
"Subcategories","Sous-catégories"
"Layered Navigation","Navigation par niveaux"
"Widget or Plain Html","Widget ou Html entier"
"Navigation","Navigation"
"Are you sure you want to delete this menu?","Etes-vous sûr de vouloir effacer ce menu? "
"Mode","Mode"
"Columns","Colonnes"
"Width, px","Largeur, px"
"Per column for subcategories type","Par colonne pour les types de sous-catégories"
"Columns Count","Nombre de colonnes"
"Show Detailed Configuration","Montrer la Configuration détaillée"
"Levels Per Dropdown","Niveaux par déroulement"
"Levels to Load","Niveaux à charger"
"Items Direction","Direction"
"Affects, when columns count is more than one. Otherwise, you will not see the difference","Affects, lorsqu'il y a plus d'une colonne. Dans le cas contraire, vous ne verrez pas la différence. "
"Max items count to show per column","Nombre maximum d'objets à montrer par colonne"
"Leave empty, to show all items","Laisser libre, pour montrer tous les objets"
"Css Id","Css Id"
"Css Class","Classe Css "
"Css Styles","Styles Css "
"Use value below 0, to insert item before category","Utiliser une valeur inférieure à 0, pour insérer l'objet avant la catégorie"
"Dropdown css styles","Dérouler les styles CSS"
"Example","Exemple"
