"Enabled ProLabel","Activer ProLabel"
"Display","Affichage"
"Position","Position"
"Image","Image"
"Label Style (Rewrite position config value)","Style d'étiquette (Réécrire la valeur configurée de la position)"
"Image text","Texte d'image"
"Min Items In Stock","Nombre minimum d'articles en stock"
"Attribute code","Attribuer un code"
"General","Général"
"Product On Sale Label","Etiquette de produit en vente"
"Product Items In Stock Label","Etiquette des produits en stock"
"Product Recommended Label","Etiquette de produit recommandé"
"Product New Label","Etiquette de nouveau produit"
"Category On Sale Label","Etiquette de catégorie en vente"
"Category Items In Stock Label","Etiquette des articles de catégorie en stock"
"Category Recommended Label","Etiquette de catégorie recommandée"
"Category New Product Label","Etiquette de catégorie Nouveau produit"
"top-left","En haut à gauche"
"top-center","En haut au centre"
"top-right","En haut à droite"
"middle-left","Au milieu à gauche"
"middle-center","Au milieu au centre"
"middle-right","Au milieu à droite"
"bottom-left","Au fond à gauche"
"bottom-center","Au fond au centre"
"bottom-right","Au fond à droite"
"recommended","Recommandé"
"ProLabel Product","ProEtiquette produit"
"ProLabel Category","ProEtiquette catégorie"
"Position style","Style de position"
"Font Style","Style de police"
"years","années"
"year","année"
"months","mois"
"month","mois"
"weeks","semaines"
"week","semaine"
"days","jours"
"day","jour"
"hours","heures"
"hour","heur"
"minuts","minutes"
"minut","minute"
"seconds","secondes"
"second","seconde"
"Math","Maths"
"Ceil","Plafond"
"Floor","Sol"
"Manage System Labels","Gérer le système d'étiquettes"
"Add On Sale Label","Ajouter une étiquette En vente"
"Add In Stock Label","Ajouter une étiquette En stock"
"Add Is New Label","Ajouter une nouvelle étiquette"
"Reindex Labels","Réindexer les étiquettes"
"Manage Labels","Gérer les étiquettes"
"Add Label","Ajouter une étiquette"
"ID","ID"
"Name","Nom"
"Store View","Vue du magasin"
"Enabled","Activé"
"Save Label","Enregistrer l'étiquette"
"Delete Label","Effacer l'étiquette"
"Save And Apply","Enregistrer et Appliquer"
"Apply","Appliquer"
"Edit Label '%s'","Editer l'étiquette '%s'"
"Label Information","Information sur l'étiquette"
"Content (Product Page)","Contenu (page Produit)"
"Content (Category Page)","contenu (page Catégorie)"
"Conditions","Conditions"
"Indexed Products","Produits indexés"
"Display if Stock is lower then","Afficher si le stock est plus faible"
"Enable Out of stock label","Désactiver l'étiquette Epuisé"
"Out of stock Image","Image Epuisé"
"Out Of Stock Label Text","Texte de l'étiquette Epuisé"
"System","Système"
"Status","Statut"
"Disabled","Désactivé"
"System Label","Etiquette de système"
"On Sale","En vente "
"In Stock","En stock"
"Is New","Nouveau"
"Save And Continue","Enregistrer et Poursuivre"
"%s Label Status","% Etiquette statut"
"Templates Master","Meilleurs modèles"
"ProLabels","ProEtiquettes"
"Labels Manager","Gérer les étiquettes"
"This label no longer exists","Cette étiquette n'existe plus"
"Edit Label","Editer l'étiquette"
"New Label","Nouvelle étiquette"
"Label was successfully saved","L'étiquette a été enregistrée avec succès "
"Label was successfully deleted","L'étiquette a été éffacée avec succès"
"Unable to find a label to delete","Impossible de trouver une étiquette à effacer"
"%d customer(s) reindexed","% du/des client/s réindexé"
"%d product(s) reindexed","% du/des produit/s réindexé"
"%d product(s) was successfully reindexed","% du/des produit/s a été réindexé avec succès"
"System Labels Manager","Gérer les étiquettes du système"
"Label not saved! Please select other store.","Etiquette non enregistrée! Veuillez sélectionner un autre magasin."
"Unable to apply rules.","Impossible d'appliquer les règles."
"The labels have been applied.","Les étiquettes ont été appliquées"
"Manual Labels","Etiquettes manuelles"
"System Labels","Etiquettes de système"
"Prolabels Section","Section ProEtiquettes"
"Templates-master","Meilleurs modèles"
"Enabled ProLabels","Activer ProEtiquettes"
"Items In Stock Label Settings","Réglages de l'étiquettes Produits en stock"
"Enable Out Of Stock","Activer Epuisé"
"up to ","jusqu'à"
