"Action","Azione"
"Add Answer","Aggiungi Risposta"
"Add Answers","Aggiungi Risposte"
"Add Item","Aggiungi Oggetto"
"Add New Answer","Aggiungi Nuova Risposta"
"Add New Question","Aggiungi Nuova Domanda"
"Allow customers comment","Consenti commento clienti"
"Allow customer vote","Consenti voto clienti"
"Allow guest to ask questions","Consenti agli ospiti di porre domande"
"Allow vote","Consenti il voto"
"Answer","Risposta"
"Answer information","Informazioni Risposta"
"Answers:","Risposte:"
"Answers","Risposte"
"Approved","Approvato"
"Are you sure?","Sei sicuro?"
"Ask a question and Give an answer. Help your fellow customer.","Fai una domanda e Dai una risposta. Aiuta il tuo amico cleinte."
"Ask a Question","Fai una Domanda"
"Ask a question","Fai una domanda"
"Ask a question (%d)","Fai una domanda (%d)"
"Ask Information","Chiedi Informazioni"
"AskIt","Askit"
"Askit Product Questions ","Domande Prodotto Askit"
"Ask Your Question","Fai la tua Domanda"
"Be the first to ask a question about this product","Sii il primo a fare una domanda su questo prodotto"
"Can you answer these question?","Puoi rispondere a queste domande?"
"Category","Categoria"
"Category Questions – %s","domande Categoria - %s"
"Change status","Cambia stato"
"Close","Chiudi"
"Closed","Chiuso"
"Cms Page Questions – %s","Domande Pagina Cms - %s"
"Count Answers","Conta Domande"
"Count question show on product page","Conta domande visualizzate sulla pagina prodotto"
"Create date","Crea data"
"CSV","CSV"
"Customer","Cliente"
"Default comment status","Stato commento di default"
"Default question status","Stato domanda di default"
"Delete","Elimina"
"Delete Item","Elimina Oggetto"
"Delete Question","Elimina Domanda"
"Disapprowed","Disapprovato"
"Do you have same question?","Hai la stessa domanda?"
"Edit Answer '%s","Modifica Risposta '%s"
"Edit","Modifica"
"Edit Item '%s","Modifica oggetto '%s"
"Email and Name required","Email e nome necessari"
"Email","Email"
"Email Sender","Mittente Email"
"Email template (admin notification)","Template email (notifica admin)"
"Email template (customer notification)","Template email (notifica cliente)"
"Enable admin notification","Attiva notifica admin"
"Enable AskIt","Attiva Askit"
"Enable customer notification","Attiva notifica cliente"
"Enable RSS Feed","Attiva Feed RSS"
"General","Generale"
"Go to Question","Vai alla Domanda"
"Go to Related Item","Vai al'oggetto Relativo"
"Have a question?","Hai una domanda?"
"Hint","Suggerimento"
"ID","ID"
"Item does not exist","Oggetto inesistente"
"Item information","Informazioni oggetto"
"Item","Oggetto inesistente"
"Item Name","Nome Oggetto"
"Item News","News Oggetto"
"Item Type","Tipo Oggetto"
"Item was successfully deleted","Oggetto eliminato con successo"
"Item was successfully saved","Oggetto salvato con successo"
"Leave a Reply","Lascia una risposta"
"login","accedi"
"Name","Nome"
"Not Answerred","Non risposto"
"Number of question to show on product page","Numero dei domande da mostrare sulla pagina prodotto"
"New %ss question was posted : %s","Nuova domanda %ss pubblicata : %s"
"Page","Pagina"
"Parent Id","Id Genitore"
"Pending","In Sospeso"
"Please select item(s)","Per favore selezionare oggetto/i"
"Please %s to your account to post a question","Per favore %s al tuo account per pubblicare una domanda"
"Post a private question","Pubblica una domanda privata"
"Posted by","Pubblicato da"
"Posted by %s on %s","Pubblicato da %s su %s"
"Posted by %s, %s on %s","Pubblicato da %s, %s su %s"
"Private","Privato"
"Product Id","Id prodotto"
"Product Name","Nome Prodotto"
"Product","Prodotto"
"Product Questions – %s","Domande Prodotto - %s"
"Product Questions:","Domande Prodotto:"
"Product Questions","Domande Prodotto"
"%ss question was updated : %s","La domanda %ss è stata aggiornatya: %s"
"Public","Pubblico"
"Query","Richiesta"
"Question Manager","Gestore Domande"
"Question:","Domanda:"
"Question","Domanda:"
"Questions Manager","Gestore domande"
"Questions:","Domande:"
"Recent questions","Domande recenti"
"* Required Fields","*Campi Necessari"
"Return back to the product page","Ritorna alla pagina prodotto"
"Rss Feed Title","Titolo Feed Rss"
"Save Item","Salva Oggetto"
"Save Question","Salva Domanda"
"Send admin notification to","Invia notifica admin a"
"Share customer name on frontend","Condividi nome cliente sulla parte anteriore"
"Show customer name on frontend","Mostra nome cliente sulla parte anteriore"
"Show product question as block on product page","Mostra doamnda prodotto come blocco sulla pagina prodotto"
"Show product question on product page","Mostra domanda prodotto sulla pagina prodotto"
"Sorry, already voted","Spiacente, già votato"
"Sorry, but we think you\'re a spammer.","Spiacente, ma pensiamo che tu sia uno spammer."
"Sorry, only logined customer can add self answer.","Spiacente, solo i clienti che hanno effettuato l'accesso possono aggiungere domande da soli."
"Sorry, only logined customer can hint.","Spiacente, solo i clienti che hanno effettuato l'accesso possono suggerire."
"%s people had same question.","%s persone hanno la stessa domanda."
"%s people found this answer helpfull","%s persone hanno trovato utile questa risposta."
"Status","Stato"
"Store discussion","Discussione Negozio"
"Store View","Visualizza Negozio"
"Text","Testo"
"There are no product questions yet.","non ci sono ancora domande prodotto."
"Total of %d record(s) were successfully updated","Un totale di %s entrate sono state aggiornate con successo."
"Unable to find item to save","Impossibile trovare oggetto da salvare."
"Update date","Aggiorna data"
"View all related questions.","Visualizza tutte le domande relative."
"Vote for It","Vota per questo elemento."
"Votes","Voti"
"Was this Answer Helpful?","Questa Risposta ti è stata utile?"
"XML","XML"
"Your answer has been accepted","La tua risposta è stata accettata."
"Your Answer","La tua risposta."
"Your must login","Devi effettuare l'accesso."
"Your question has been accepted for moderation","La tua domanda è stata accetta per essere moderata."
