"Easy Banner","Easy Banner"
"Manage Banners","Gestisci Banner"
"Manage Placeholders","Gestisci Placeholders"
"Easy Banner Section","Sezione Eassy Banner"
"General","Generale"
"Name of the folder where the banners will be stored","Nome della cartella dove verranno conservati i banner"
"Folder at MAGENTO_ROOT/media/. Default 'easybanner'","Cartella su MAGENTO_ROOT/media/. Default 'easybanner'"
"Conditions (leave blank to show on all pages)","Condizioni (lascia vuoto per mostrare su tutte le pagine)"
"Conditions","Condizioni"
"Title","Titolo"
"Url","Url"
"Mode","Modalità"
"Image","Immagine"
"Html","Html"
"Content","Contenuto"
"General Information","Informazioni Generali"
"Hide Url","Nascondi Url"
"Yes","Si"
"No","No"
"Target","Target"
"Popup","Popup"
"Blank","Vuoto"
"Self","Sè"
"Sort order","Classifica ordine"
"Store View","Visualizzazione Negozio"
"Placeholder","Placeholder"
"Status","Stato"
"Enabled","Attivato"
"Disabled","Disattivato"
"Statistics","Statistiche"
"Display Count","Visualizza Totale"
"Clicks Count","Totale Clic"
"Banner Information","Informazioni Banner"
"General Information","Informazioni Generali"
"Save Banner","Salva Banner"
"Delete Banner","Elimina Banner"
"Save And Continue Edit","Salva E Continua Modifica"
"Edit Banner '%s'","Modifica Banner '%s'"
"Add Banner","Aggiungi Banner"
"ID","ID"
"Name","Nome"
"Placeholder Name","Nome Placeholder"
"Parent Block","Blocco Genitore"
"Position","Posizione"
"Banners limit per rotate","Limite Banner per rotazione"
"Slider","Slider"
"Rotator","Rotatore"
"Save Placeholder","Salva Placeholder"
"Delete Placeholder","Elimina Placeholder"
"Edit Placeholder '%s'","Modifica Placeholder '%s'"
"Add Placeholder","Aggiungi Placeholder"
"Page","Pagina"
"Manage Placeholders","Gestici Placeholders"
"Banner Manager","Gestore Banner"
"This banner no longer exists","Questo banner non esiste più"
"Edit Banner","Modifica Banner"
"New Banner","Nuovo Banner"
"Banner was successfully saved","Banner salvato con successo"
"Banner was successfully deleted","banner eliminato con successo"
"Unable to find a banner to delete","mpossibile trovare un banner da eliminare"
"Placeholder Manager","Gestore Placeholder"
"This placeholder no longer exists","Questo Placeholder non esiste più"
"Edit Placeholder","Modifica Placeholder"
"New Placeholder","Nuovo Placeholder"
"Placeholder was successfully deleted","Placeholder eliminato con successo"
"Unable to find a placeholder to delete","Impossibile trovare un Placeholder da eliminare"
"Image file not found","File immagine non trovato"
"Category","Categoria"
"Product","Prodotto"
"Date","Data"
"Time","Ora"
"Customer Group","Gruppo Cliente"
"Clear Statistics","Azzera Statistiche"
"Easybanner Banner","Banner Easybanner"
"Easybanner Placeholder","Placeholder Easybanner"
"Select Banner...","Seleziona Banner"
"Select Placeholder...","Seleziona Placeholder"
"The banner has been duplicated","Il banner è stato duplicato"
"Sort mode","Ordina modalità"
"Random","Casuale"
"By Banners Sort Order","Ordina modalità per Banner"
"Image Options","Opzioni Immagine"
"Use image resizer","Usa ridimensionatore immagine"
"Actual image size should be twice larger then the entered width and height","La dimensione reale dell'immagine dovrebbe essere il doppio più grande rispetto alla larghezza e ampiezza inserite"
"Retina support","Supporto Retina"
"Background color","Colore sfondo"
"Html Content","Contenuto Html"
