"Lightbox Pro","Lightbox Pro"
"General","Generale"
"Enable Lightbox Pro","Attiva Lightbox Pro"
"Outline Type","Tipo Contorno"
"beveled","beveled"
"drop-shadow","ombra esterna"
"glossy-dark","glossy- scuro"
"outer-glow","bagliore esterno"
"rounded-black","arrotondato - nero"
"rounded-white","arrotondato - bianco"
"Gallery","Galleria"
"Controls","Controlli"
"Preset style","Stile Preset"
"None","Nessuno"
"Large white buttons","Pulsanti grandi bianchi"
"Small white buttons","Pulsanti grandi piccoli"
"Large dark buttons","Pulsanti scuri grandi"
"White buttons with text","Pulsanti bianchi con testo"
"Position","Posizione"
"above","sopra"
"top left","in alto a sinistra"
"top","in alto a sinistra"
"top center","in alto al centro"
"top rigth","in alto a destra"
"leftpanel","leftpanel"
"left","sinistra"
"middle left","centro sinistra"
"middle center","centro centrato"
"middle right","centro destra"
"right","destra"
"rightpanel","rightpanel"
"bottom left","in basso a sinistra"
"bottom center","in basso al centro"
"bottom right","in basso a destra"
"below","sotto"
"Opacity","Opacità"
"X offset","Offset X"
"Y offset","Offset Y"
"Hide controls on mouse out","Nascondi controlli su allontanamento mouse"
"Numbers","Numeri"
"Numbers position","Posizione numeri"
"heading","heading"
"caption","caption"
"Thumbstrip","Thumbstrip"
"Enable","Attiva"
"Horizontal","Orizzontale"
"Vertical","Verticale"
"Float","Float"
"Image","Immagine"
"Viewport","viewport"
"Behaviour","Comportamento"
"Keep controls fixed","Tieni controlli fissi"
"Repeat slideshow","Ripeti slideshow"
"Interval","Intervallo"
"Autoplay slideshow","Autoplay slideshow"
"Inner Html Widget","Widget html interno"
"Size","Dimensione"
"Width","Larghezza"
"Title bar","Barra Titolo"
"Title Source","Fonte Titolo"
"A given string","Una Stringa data"
"Anchor'rs title attribute","Attributo titolo dell'anchor"
"Anchor'rs inner HTML","HTML interno dell'anchor"
"Style","Stile"
"Dimming","Dimming"
"Apply page dimming mask","Applica maschera dimming pagina"
"Animation","Animazione"
"Explanation label","Etichetta Spiegazione"
"easyInQuad","easyInQuad"
"linearTween","linearTween"
"easyInCirc","easyInCirc"
"easyInBack/easeOutBack","easyInBack/easeOutBack"
"Popup size and aligment","Dimensioene allineamento Popup"
"Anchor","Anchor"
"Auto","Auto"
"Center","Centro"
"Thumbnail top","Thumbnail in alto"
"Thumbnail top right","Thumbnail in alto a destra"
"Thumbnail right","Thumbnail a destra"
"Thumbnail bottom right","Thumbnail in basso a destra"
"Thumbnail bottom","Thumbnail in basso"
"Thumbnail bottom left","Thumbnail in basso a sinistra"
"Thumbnail left","Thumbnail a sinistra"
"Thumbnail top left","Thumbnail in alto a sinistra"
"Align","Allinea"
"Yes-'center' override anchor, No-'auto'","Si- 'Centra' sovrascrive anchor, No- 'auto'"
"Height","Altezza"
"Allow size reduction","Consenti riduzione dimensione"
"Pad to minimum width","Pad alla larghezza minima"
"Advanced behaviour","Comportamento avanzato"
"Allow multiple popups at the same timen","Consenti popup multipli allo stesso tempo"
"Block right clicks on the popup image","Blocca clic col tasto destro sull'immagine del popup"
"Enable shortcut keys","Attiva tasti shortcut"
"Number of images to preload","Numero di immagini da precaricare"
"Overlays","Sovrapposizioni"
"Caption","Caption"
"Source","Fonte Titolo"
"Anchor's title ","Titolo Anchor"
"Thumbnail's alt","alt Thumbnail"
"Thumbnail's title","Titolo Thumbnail"
"Subsequent div","Div Successivo"
"Relative","Relativo"
"Heading","heading"
"Close button","Pulsante Chiudi"
"Tooltip","Tooltip"
"Title","Titolo"
"Content","Contenuto"
"LightboxPro Inner Html","Html Interno LightboxPro"
"LightboxPro Image","Immagine LightboxPro"
"Image title","Titolo Immagine"
"Thumbnail Width","Larghezza Thumbnail"
"Thumbnail Height","Altezza Thumbnail"
"LightboxPro Gallery","Galleria Thumbnail"
