"Add Menu","Aggiungi Menu"
"New Menu","Nuovo Menu"
"Add New Column","Aggiungi Nuova Colonna"
"Add New Sibling","Aggiungi nuovo Fratello"
"Dropdown Content","Dropdown Contenuto"
"Dropdown top content","Dropdown contenuto in alto"
"Dropdown bottom content","Dropdown contenuto in basso"
"Display in navigation","Visualizza in navigazione"
"Useful, if you want to make 'Catalog' menu item with list of all categories in dropdown.","Utile, se vuoi creare un oggetto menu 'Catalogo' con la lista di tutte le categorie nel Dropdown."
"Top Level Categories Options (See the 'Submenu global preferences' tab to setup nested levels)","Opzioni Categorie Top Level (vedi la scheda 'Preferenze globali sotto-menu' per impostare i livelli innestati)"
"Set this value to max level count, to use menu as fully expanded menu without dropdowns (100 - whould be enough)","Imposta questo valore al massimo livello totale, per usare il menu come menu completamente espanso senza dropdown (100 - dovrebbe bastare)"
"Style","Stile"
"Menu Data","dati Menu"
"Siblings","Fratelli"
"Submenu global preferences","Preferenze globali sotto-menu"
"Dropdown columns","Colonne Dropdown"
"Manage Menu","Gestisci Menu"
"The menu has been deleted.","Il menu è stato eliminato."
"An error occurred while trying to delete the menu.","Si è verificato un errore durante l'eliminazione del menu."
"Navigation Pro","Navigation Pro"
"Top","In Cima"
"Menu","Menu"
"Dropdown Side","Dropdown Lato"
"Left","Sinistra"
"Right","Destra"
"Use Parent Menu Preferences","Usa Preferenze del Menu Genitore"
"Use Root Menu Preferences","Usa Preferenze Menu Root"
"Custom","Personalizzato"
"Horizontal","Orizzontale"
"Vertical","Verticale"
"Dropdown","Dropdown"
"Accordion","Fisarmonica"
"Subcategories","Sotto-categorie"
"Layered Navigation","Navigazione a Layer"
"Widget or Plain Html","Widget o Html Semplice"
"Navigation","Navigazione"
"Are you sure you want to delete this menu?","Sei sicuro di voler eliminare questo menu?"
"Mode","Modalità"
"Columns","Menu"
"Width, px","Larghezza, px"
"Per column for subcategories type","Per colonna per tipo sotto-categoria"
"Columns Count","Totale Colonne"
"Show Detailed Configuration","Mostra Configurazione Dettagliata"
"Levels Per Dropdown","Livelli Per Dropdown"
"Levels to Load","Livelli da Caricare"
"Items Direction","Direzione Oggetti"
"Affects, when columns count is more than one. Otherwise, you will not see the difference","Agisce, quando il totale colonne è maggiore di uno. Altrimenti, non noterai la differenza."
"Max items count to show per column","Totale oggetti max da mostrare per colonna"
"Leave empty, to show all items","Lascia vuoto, per mostrare tutti gli oggetti"
"Css Id","Id Css"
"Css Class","Classe Css"
"Css Styles","Stili Css"
"Use value below 0, to insert item before category","usa valore minore di 0, per inserire l'oggetto prima della categoria"
"Dropdown css styles","Stili css Dropdown"
"Example","Esempio"
