"Products Bought Together Manager","Gestore Prodotti Acquistati Insieme"
"Reindex Data","Dati Reindex"
"Products Bought by Same Customer Manager","Gestore Prodotti Acquistati dallo Stesso Cliente"
"ID","ID"
"Product Name","Nome Prodotto"
"Related Product Name","Nome Prodotto Relativo"
"Weight","Peso"
"Is Admin","È Admin"
"Save Item","Salva Oggetto"
"Delete Item","Elimina Oggetto"
"Edit Item","Modifica Oggetto"
"Add Item","Aggiungi Oggetto"
"Edit Information","Modifica Informazioni"
"Frequently bought together","Comprati spesso insieme"
"Customers Who Bought This Item Also Bought","I Clienti Che Hanno Acquistato Questo Oggetto Hanno Comprato Anche"
"Customers who bought this product also commonly purchased the following combination of items.","I clienti che hanno acquistato questo prodotto hanno di solito acquistato anche la seguente combinazione di oggetti."
"Order Manager","Gestore Ordine"
"Item Manager","Gestore Oggetto"
"Item News","News Oggetto"
"Item does not exist","Oggetto inesistente"
"Please select items.","Per favore seleziona gli oggetti."
"Item was successfully saved","Oggetto salvato con successo"
"%d order(s) reindexed","% ordini reindicizzati"
"%d order(s) was successfully reindexed","%s ordini reindicizzati con successo"
"Customer Manager","Manager Clienti"
"Total of %d record(s) have been deleted.","Un totale di %s entrate sono state eliminate."
"%d customer(s) reindexed","%d clienti reindicizzati."
"%d customer(s) was successfully reindexed","%d clienti reindicizzati con successo"
"Sold Together","Venduti Insieme"
"Frequently Bought Together","Frequentemente Acquistati Insieme"
"Bought Together Pro","Acquistati Insieme Pro"
"Sold Together Pro","Venduti Insieme Pro"
"Enabled","Attivato"
"Enabled Sold Together Pro","Venduti Insieme Pro Attivato"
"Count Products to Display","Totale Prodotti da Visualizzare"
"Count Columns to Display","Totale Colonne da Visualizzare"
"Show add to cart checkboxes","Mostra casella aggiungi al carrello"
"Customer Bought Together","Il Cliente Ha Acquistato Insieme"
"unselect all","deseleziona tutto"
"select all","seleziona tutto"
"Enabled Amazone Style","Stile Amazone Attivato"
"Add All to Cart","Aggiungi Tutto al Carrello"
"Price For All:","Prezzo Per Tutto:"
"This Product is Frequently Bought With","Questo Prodotto Viene Acquistato Frequentemente Con"
"Add this product to the cart too","Aggiungi anche questo prodotto al carrello "
