"Easy Banner","Gemakkelijke Banner"
"Manage Banners","Beheer Banners"
"Manage Placeholders","Beheer Vervangingen"
"Easy Banner Section","Gemakkelijke Banner Sectie"
"General","Algemeen"
"Name of the folder where the banners will be stored","Naam van de map waar de banners zullen worden opgeslagen"
"Folder at MAGENTO_ROOT/media/. Default 'easybanner'","Map in MAGENTO_ROOT/media/. Standaard 'easybanner'"
"Conditions (leave blank to show on all pages)","Voorwaarden (leeg laten om te laten zien op alle pagina's)"
"Conditions","Voorwaarden"
"Title","Titel"
"Url","Url"
"Mode","Modus"
"Image","Afbeelding"
"Html","Html"
"Content","Inhoud"
"General Information","Algemene Informatie"
"Hide Url","Verberg Url"
"Yes","Ja"
"No","Nee"
"Target","Doel"
"Popup","Popup"
"Blank","Leeg"
"Self","Zelf"
"Sort order","Sorteer volgorde"
"Store View","Zicht op winkel"
"Placeholder","Vervanging"
"Status","Status"
"Enabled","Mogelijk gemaakt"
"Disabled","Afgezet"
"Statistics","Statistieken"
"Display Count","Laat telling zien"
"Clicks Count","Telling kliks"
"Banner Information","Banner Informatie"
"General Information","Algemene Information"
"Save Banner","Sla Banner op"
"Delete Banner","Wis Banner"
"Save And Continue Edit","Sla op en Ga verder Bewerk"
"Edit Banner '%s'","Bewerk Banner '%s'"
"Add Banner","Voeg Banner toe"
"ID","ID"
"Name","Naam"
"Placeholder Name","Naam van dePlaceholder "
"Parent Block","Parent Blok"
"Position","Positie"
"Banners limit per rotate","Banners limiet per rotatie"
"Slider","Slider"
"Rotator","Rotator"
"Save Placeholder","Save Placeholder"
"Delete Placeholder","Wis Placeholder"
"Edit Placeholder '%s'","Bewerk Vervanging '%s'"
"Add Placeholder","Voeg Vervanging toe"
"Page","Pagina"
"Manage Placeholders","Beheer Vervanging"
"Banner Manager","Banner Beheerder"
"This banner no longer exists","Deze banner bestaat niet meer"
"Edit Banner","Bewerk Banner"
"New Banner","Nieuwe Banner"
"Banner was successfully saved","Banner werd met succes bewaard"
"Banner was successfully deleted","Banner werd met succes gewist"
"Unable to find a banner to delete","Onmogelijk een te wissen banner te vinden"
"Placeholder Manager","Beheerder vervangingen"
"This placeholder no longer exists","Deze vervanging bestaat niet meer"
"Edit Placeholder","Beheer vervanger"
"New Placeholder","Nieuwe vervanger"
"Placeholder was successfully deleted","Vervanger was met succes gewist"
"Unable to find a placeholder to delete","Onmogelijk een vervanger te vinden die gewist kan worden"
"Image file not found","Afbeelding niet gevonden"
"Category","Categorie"
"Product","Product"
"Date","Datum"
"Time","Tijd"
"Customer Group","Klanten groep"
"Clear Statistics","Statistieken leegmaken"
"Easybanner Banner","Easybanner Banner"
"Easybanner Placeholder","Easybanner Placeholder"
"Select Banner...","Selecteer Banner..."
"Select Placeholder...","Selecteer Vervanger..."
"The banner has been duplicated","De banner werd gedupliceerd"
"Sort mode","Sorteer modus"
"Random","Willekeurig"
"By Banners Sort Order","Op Banners Sorteer Volgorde"
"Image Options","Afbeelding Opties"
"Use image resizer","Gebruik afbeelding resizer"
"Actual image size should be twice larger then the entered width and height","Grootte van het eigenlijke gewicht zou tweemaal groter moeten zijn dan de ingebrachte breedte en hoogte"
"Retina support","Retina ondersteuning"
"Background color","Achtergrond kleur"
"Html Content","Html Inhoud"
