"Manage Sliders","Beheer Sliders"
"Add Slider","Slider Toevoegen"
"ID","ID"
"Title","Titel"
"Created Time","Gecreëerde tijd"
"Modified Time","Aangepaste tijd"
"Status","Status"
"Save Slider","Bewaar Slider"
"Delete Slider","Wis Slider"
"Edit Slider '%s'","Bewerk Slider '%s'"
"Add Slider","Voeg slider toe"
"Slider information","Slider informatie"
"Configuration","Configuratie"
"Slides","Slides"
"General","Algemeen"
"Slider Type","Slider Type"
"Prototype Slider","Prototype Slider"
"Nivo Slider (jQuery)","Nivo Slider (jQuery)"
"Enabled","Mogelijk gemaakt"
"Disabled","Afgezet"
"Prototype Slider Options","Prototype Slider Opties"
"Identifier","Identifieerder"
"Controls type","Controls type"
"Numbers","Nummers"
"Arrows","Pijlen"
"Width","Breedte"
"Height","Hoogte"
"Effect","Effect"
"Scroll","Scroll"
"Speedscroll","Vlugge scroll"
"Fade","Verbleken"
"Blend","Mengen"
"Mosaic","Mosaiek"
"Duration","Duurtijd"
"Frequency","Frequentie"
"Autoglide","Autoglide"
"Nivo Slider Options","Nivo Slider Options"
"Theme","Thema"
"Default","Standaard"
"Light","Licht"
"Dark","Donker"
"Bar","Menu"
"Slices(For slice animations)","Schijven(Voor schijf animaties)"
"Box Cols(For box animations)","Box Cols(Voor box animaties)"
"Box Rows(For box animations)","Box Rows(Voor box animaties)"
"Slide transition speed","Dia transitie snelheid"
"How long each slide will show","Hoelang wordt iedere dia laten zien"
"Next & Prev navigation","Volgende & Vorige navigatie"
"Yes","Ja"
"No","Nee"
"Use thumbnails for Control Nav","Gebruik thumbnails voor navigatie controle"
"Stop animation while hovering","Stop animatie terwijl je aan het hangen bent"
"Add New Slide","Voeg een nieuwe dia toe"
"Delete Slide","Wis dia"
"Manage Sliders","Beheer Sliders"
"Edit Slider","Bewerk Slider"
"Slide does not exist","Dia bestaat niet"
"Destination folder is not writable or does not exists.","Doelmap kan niet worden beschreven of bestaat niet."
"Slider was successfully saved","Slider werd met succes bewaard"
"Easy Slide","Easy Slide"
"Easyslide","Easyslide"
"Load jQuery Library, when using Nivo slider (No Conflict Mode)","Laad jQuery Bibliotheek  wanneer je de Nivo slider gebruikt (Geen conflict modus)"
"General","Algemeen"
"Random","Willekeuring"
"Slice Down","Snij beneden"
"Slice Down Left","Snij links beneden"
"Slice Down Right","Snij rechts beneden"
"Slice Up","Snij boven"
"Slice Up Left","Snij links boven"
"Slice Up Right","Snij rechts boven"
"Slice Up Down","Snij beneden"
"Slice Up Down Left","Snij links beneden"
"Slice Up Down Right","Snij rechts beneden"
"Fold","vouwen"
"Fade","Fade"
"Slide In Right","Rechts inschuiven"
"Slide In Left","Links inschuiven"
"Box Random","Willekeurig vak"
"Box Rain","Box Rain"
"Box Rain Reverse","Box Rain Reverse"
"Box Rain Grow","Box Rain Grow"
"Box Rain Grow Reverse","Box Rain Grow Reverse"
"Slide name","Dia naam"
"Image URL","URL afbeelding"
"Target URL","Doel URL"
"Sort Order","Sorteer volgorde"
"Is Enabled","Is mogelijk gemaakt"
"Description","Beschrijving"
"Desc Position","Desc Positie"
"Desc Background","Desc Achtergrond"
