"Enabled ProLabel","Mogelijk gemaakt ProLabel"
"Display","Laat zien"
"Position","Positie"
"Image","Afbeelding"
"Label Style (Rewrite position config value)","Label Stijl (Herschrijf positie config waarde)"
"Image text","Afbeelding tekst"
"Min Items In Stock","Min Items In Stock"
"Attribute code","Ken code toe"
"General","Algemeen"
"Product On Sale Label","Product In de Uitverkoop Label"
"Product Items In Stock Label","Product Items In Stock Label"
"Product Recommended Label","Product Aanbeveling Label"
"Product New Label","Nieuw Product Label "
"Category On Sale Label","Categorie Uitverkoop Label"
"Category Items In Stock Label","Categorie Items In Stock Label"
"Category Recommended Label","Categorie Aanbevolen Label"
"Category New Product Label","Categorie Nieuw Product Label"
"top-left","boven-links"
"top-center","top-midden"
"top-right","top-rechts"
"middle-left","midden-links"
"middle-center","midden-centrum"
"middle-right","midden-rechts"
"bottom-left","onderaan-links"
"bottom-center","Onder-centrum"
"bottom-right","onder-rechts"
"recommended","Aanbevolen"
"ProLabel Product","ProLabel Product"
"ProLabel Category","ProLabel Categorie"
"Position style","Positie stijl"
"Font Style","Font Stijl"
"years","jaren"
"year","jaar"
"months","maanden"
"month","maand"
"weeks","weken"
"week","week"
"days","dagen"
"day","dag"
"hours","uren"
"hour","uur"
"minuts","minuten"
"minut","minuut"
"seconds","seconden"
"second","second"
"Math","Math"
"Ceil","Plafond"
"Floor","vloer"
"Manage System Labels","Beheer Systeem Labels"
"Add On Sale Label","Voeg Sale Label toe"
"Add In Stock Label","VoegIn Stock Label toe"
"Add Is New Label","Voeg Is Een Nieuw Label toe"
"Reindex Labels","Herindexeer Labels"
"Manage Labels","Beheer Labels"
"Add Label","Voeg Label toe"
"ID","ID"
"Name","Naam"
"Store View","Winkelzicht"
"Enabled","Mogelijk gemaakt"
"Save Label","Bewaar Label"
"Delete Label","Wis Label"
"Save And Apply","Bewaar en pas toe"
"Apply","Pas toe"
"Edit Label '%s'","Bewerk Label '%s'"
"Label Information","Label Informatie"
"Content (Product Page)","Inhoud (Product Pagina)"
"Content (Category Page)","Inhoud (Categorie Pagina)"
"Conditions","Voorwaarden"
"Indexed Products","Geindexeerde Producten"
"Display if Stock is lower then","Laat zien wanneer de stock lager is dan"
"Enable Out of stock label","Laat uit stock label toe"
"Out of stock Image","Uit stock afbeelding"
"Out Of Stock Label Text","Uit stock label tekst"
"System","Systeem"
"Status","Status"
"Disabled","Onmogelijk gemaakt"
"System Label","Systeem Label"
"On Sale","In uitverkoop"
"In Stock","In Stock"
"Is New","Is Nieuw"
"Save And Continue","Bewaar en ga verder"
"%s Label Status","%s Label Status"
"Templates Master","Templates Meester"
"ProLabels","ProLabels"
"Labels Manager","Labels Beheerder"
"This label no longer exists","Dit label no bestaat niet meer"
"Edit Label","Bewerk Label"
"New Label","Nieuw Label"
"Label was successfully saved","Label was met succes bewaard"
"Label was successfully deleted","Label was met succes gewist"
"Unable to find a label to delete","Onmogelijk een label te vinden om te wissen"
"%d customer(s) reindexed","%d geherindexeerde klant(en)"
"%d product(s) reindexed","%d product(en) geherindexeerd"
"%d product(s) was successfully reindexed","%d product(en) werden met succes geherindexeerd"
"System Labels Manager","Systeem Labels Beheerder"
"Label not saved! Please select other store.","Label niet opgeslagen! Gelieve een andere winkel te selecteren"
"Unable to apply rules.","Onmogelijk om de regels toe te passen."
"The labels have been applied.","De labels werden toegepast"
"Manual Labels","Handmatige Labels"
"System Labels","System Labels"
"Prolabels Section","Prolabels Sectie"
"Templates-master","Templates-meester"
"Enabled ProLabels","ProLabels Mogelijk gemaakt"
"Items In Stock Label Settings","Items In Stock Label Instellingen"
"Enable Out Of Stock","Maak uit stock nodig"
"up to ","op naar"
