"Products Bought Together Manager","Beheerder tezamen aangekochte producten"
"Reindex Data","herindexeer Data"
"Products Bought by Same Customer Manager","Beheerder producten gekocht door dezelfde klant"
"ID","ID"
"Product Name","Product Naam"
"Related Product Name","Naam gerelateerd product"
"Weight","Gewicht"
"Is Admin","Is Admin"
"Save Item","Bewaar Item"
"Delete Item","Wis Item"
"Edit Item","Beheer Item"
"Add Item","Add Item"
"Edit Information","Beheer Informatie"
"Frequently bought together","Regelmatig tezamen aangekocht"
"Customers Who Bought This Item Also Bought","Klanten die dit item kochten, kochten ook"
"Customers who bought this product also commonly purchased the following combination of items.","Klanten die dit product kochten, kochten gewoonlijk de volgende combinatie van items."
"Order Manager","Beheerder Bestellinge"
"Item Manager","Item Beheerder"
"Item News","Item Nieuws"
"Item does not exist","Item bestaat niet"
"Please select items.","Gelieve items te selecteren."
"Item was successfully saved","Item was met succes bewaard"
"%d order(s) reindexed","%d bestelling(en) gehereindexeerd"
"%d order(s) was successfully reindexed","%d bestelling(en) werd met succes geherindexeerd"
"Customer Manager","Klanten Beheerder"
"Total of %d record(s) have been deleted.","Totaal van %d record(s) werden gewist."
"%d customer(s) reindexed","%d klant(en) geherindexeerd"
"%d customer(s) was successfully reindexed","%d klant(en) waren met succes geherindexeerd"
"Sold Together","Tezamen Verkocht"
"Frequently Bought Together","Vaak tezamen verkocht "
"Bought Together Pro","Tezamen gekocht Pro"
"Sold Together Pro","Tezamen gekocht Pro"
"Enabled","Mogelijk gemaakt"
"Enabled Sold Together Pro","Mogelijk gemaakt Tezamen Gekocht Pro"
"Count Products to Display","Tel producten om te laten zien"
"Count Columns to Display","Tel Kolommen om te laten zien"
"Show add to cart checkboxes","Laat de voeg aan winkelwagen toe checkboxes zien"
"Customer Bought Together","Klant kocht tezamen"
"unselect all","Ontselecteer alles"
"select all","select all"
"Enabled Amazone Style","Laat Amazone Style toe"
"Add All to Cart","Voeg alles aan de winkelwagen toe "
"Price For All:","Prijs Voor Alles:"
"This Product is Frequently Bought With","Dit product wordt geregeld gekocht met                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "
"Add this product to the cart too","Voeg dit product ook aan de winkelwagen toe "
