"Lightbox Pro","Lightbox Pro"
"General","Geral"
"Enable Lightbox Pro","Habilitar Lightbox Pro"
"Outline Type","Tipo de estrutura de tópicos"
"beveled","chanfradas"
"drop-shadow","drop-shadow"
"glossy-dark","brilhante-escuro"
"outer-glow","brilho-externo"
"rounded-black","arredondado-preto"
"rounded-white","arredondado-branco"
"Gallery","Galeria"
"Controls","Controles"
"Preset style","Estilo predefinido"
"None","Nenhum"
"Large white buttons","Botões brancos grandes"
"Small white buttons","Botões brancos pequenos"
"Large dark buttons","Botões escuros grandes"
"White buttons with text","Botões brancos com texto"
"Position","Posição"
"above","acima"
"top left","superior esquerdo"
"top","superior"
"top center","superior centro"
"top rigth","superior direita"
"leftpanel","painelesquerda"
"left","esquerda"
"middle left","meio esquerda"
"middle center","meio centro"
"middle right","meio direita"
"right","direita"
"rightpanel","direitapainel"
"bottom left","inferior esquerdo"
"bottom center","inferior central"
"bottom right","inferior direita"
"below","abaixo"
"Opacity","Opacidade"
"X offset","X deslocamento"
"Y offset","Y deslocamento"
"Hide controls on mouse out","Ocultar controles no mouse para fora"
"Numbers","Números"
"Numbers position","Posição de números"
"heading","cabeçalho"
"caption","legenda"
"Thumbstrip","Thumbstrip"
"Enable","Habilitar"
"Horizontal","Horizontal"
"Vertical","Vertical"
"Float","Float"
"Image","Imagem"
"Viewport","Viewport"
"Behaviour","Comportamento"
"Keep controls fixed","Manter controles fixados"
"Repeat slideshow","Repitir o slideshow"
"Interval","Intervalo"
"Autoplay slideshow","Autoplay slideshow"
"Inner Html Widget","Widget de Html interna"
"Size","Tamanho"
"Width","Largura"
"Title bar","Barra de título"
"Title Source","Fonte do título"
"A given string","Uma determinada sequência de caracteres"
"Anchor'rs title attribute","Atributo de título da âncora"
"Anchor'rs inner HTML","HTML interno da âncora"
"Style","Estilo"
"Dimming","Escurecimento"
"Apply page dimming mask","Aplicar a máscara de escurecimento de página"
"Animation","Animação"
"Explanation label","Rótulo de explicação"
"easyInQuad","easyInQuad"
"linearTween","Interpolaçãolinear"
"easyInCirc","easyInCirc"
"easyInBack/easeOutBack","easyInBack/easeOutBack"
"Popup size and aligment","Alinhamento e tamanho de pop-up"
"Anchor","Âncora"
"Auto","Auto"
"Center","Centro"
"Thumbnail top","Miniatura"
"Thumbnail top right","Miniatura superior direita"
"Thumbnail right","Miniatura direita"
"Thumbnail bottom right","Miniatura inferior direita"
"Thumbnail bottom","Fundo em miniatura"
"Thumbnail bottom left","Em miniatura no canto inferior esquerdo"
"Thumbnail left","Miniatura à esquerda"
"Thumbnail top left","Miniatura superior esquerda"
"Align","Alinhar"
"Yes-'center' override anchor, No-'auto'","Sim, -'centro' substituir a âncora, Não-'auto'"
"Height","Altura"
"Allow size reduction","Permitir a redução de tamanho"
"Pad to minimum width","Pad para largura mínima"
"Advanced behaviour","Comportamento avançado"
"Allow multiple popups at the same timen","Permitir vários pop-ups ao mesmo tempo"
"Block right clicks on the popup image","Bloco direito do mouse clicar sobre a imagem de pop-up"
"Enable shortcut keys","Habilitar teclas de atalho"
"Number of images to preload","Número de imagens para pré-carregar"
"Overlays","Sobreposições"
"Caption","Legenda"
"Source","Fonte"
"Anchor's title ","Título da âncora"
"Thumbnail's alt","Alt da Miniatura"
"Thumbnail's title","Título da Miniatura"
"Subsequent div","Div subsequente"
"Relative","Relativo"
"Heading","Cabeçalho"
"Close button","Botão fechar"
"Tooltip","Dica de ferramenta"
"Title","Título"
"Content","Conteúdo"
"LightboxPro Inner Html","LightboxPro Inner Html"
"LightboxPro Image","Imagem LightboxPro"
"Image title","Título da imagem"
"Thumbnail Width","Largura Miniatura"
"Thumbnail Height","Altura Miniatura"
"LightboxPro Gallery","LightboxPro Galeria"
