"Add Menu","Add Menu"
"New Menu","Novo Menu"
"Add New Column","Add Nova Coluna"
"Add New Sibling","Add Novo Sibling"
"Dropdown Content","Conteúdo Menu Suspenso"
"Dropdown top content","Conteúdo Menu Suspenso Topo"
"Dropdown bottom content","Conteúdo Menu Suspenso Inferior"
"Display in navigation","Exibir na navegação"
"Useful, if you want to make 'Catalog' menu item with list of all categories in dropdown.","Útil, se você quiser fazer 'Catálogo' de item do menu com a lista de todas as categorias no menu suspenso."
"Top Level Categories Options (See the 'Submenu global preferences' tab to setup nested levels)","Top Level Categories Options (See the 'Submenu global preferences' tab to setup nested levels)"
"Set this value to max level count, to use menu as fully expanded menu without dropdowns (100 - whould be enough)","Set this value to max level count, to use menu as fully expanded menu without dropdowns (100 - whould be enough)"
"Style","Style"
"Menu Data","Menu Data"
"Siblings","Siblings"
"Submenu global preferences","Submenu global preferences"
"Dropdown columns","Dropdown columns"
"Manage Menu","Manage Menu"
"The menu has been deleted.","The menu has been deleted."
"An error occurred while trying to delete the menu.","An error occurred while trying to delete the menu."
"Navigation Pro","Navigation Pro"
"Top","Top"
"Menu","Menu"
"Dropdown Side","Dropdown Side"
"Left","Left"
"Right","Right"
"Use Parent Menu Preferences","Use Parent Menu Preferences"
"Use Root Menu Preferences","Use Root Menu Preferences"
"Custom","Custom"
"Horizontal","Horizontal"
"Vertical","Vertical"
"Dropdown","Dropdown"
"Accordion","Accordion"
"Subcategories","Subcategories"
"Layered Navigation","Layered Navigation"
"Widget or Plain Html","Widget or Plain Html"
"Navigation","Navigation"
"Are you sure you want to delete this menu?","Are you sure you want to delete this menu?"
"Mode","Mode"
"Columns","Columns"
"Width, px","Width, px"
"Per column for subcategories type","Per column for subcategories type"
"Columns Count","Columns Count"
"Show Detailed Configuration","Show Detailed Configuration"
"Levels Per Dropdown","Levels Per Dropdown"
"Levels to Load","Levels to Load"
"Items Direction","Items Direction"
"Affects, when columns count is more than one. Otherwise, you will not see the difference","Afeta, quando a contagem de colunas é mais do que um. Caso contrário, você não vai ver a diferença"
"Max items count to show per column","Contagem máxima de itens a ser mostrado por coluna"
"Leave empty, to show all items","Deixe em branco, para mostrar todos os itens"
"Css Id","ID Css"
"Css Class","Classe Css"
"Css Styles","Estilos Css"
"Use value below 0, to insert item before category","Usar valor abaixo de 0, para inserir o item antes de categoria"
"Dropdown css styles","Estilos de css DropDown"
"Example","Exemplo"
