"Products Bought Together Manager","Gerenciamento de Produtos Comprados Juntos"
"Reindex Data","Reindexar dados"
"Products Bought by Same Customer Manager","Gerenciamento de produtos comprada pelo mesmo cliente"
"ID","ID"
"Product Name","Nome do Produto"
"Related Product Name","Nome de produto relacionados"
"Weight","Peso"
"Is Admin","É Admin"
"Save Item","Salvar Item"
"Delete Item","Deletar Item"
"Edit Item","Editar Item"
"Add Item","Add Item"
"Edit Information","Editar Informação"
"Frequently bought together","Frequentemente comprado junto"
"Customers Who Bought This Item Also Bought","Clientes que compraram este Item também compraram"
"Customers who bought this product also commonly purchased the following combination of items.","Clientes que compraram este produto geralmente também compram a seguinte combinação de itens."
"Order Manager","Gerenciador de pedido"
"Item Manager","Gereciador de Item"
"Item News","Item Novidades"
"Item does not exist","Item não existe"
"Please select items.","Por favor selecione itens."
"Item was successfully saved","Item foi salvo com sucesso"
"%d order(s) reindexed","%d encomendas reindexados"
"%d order(s) was successfully reindexed","%d encomendas com êxito foram reindexadaa"
"Customer Manager","Gestor de cliente"
"Total of %d record(s) have been deleted.","Total de %d registro (s) foram excluídos."
"%d customer(s) reindexed","%d cliente(s) reindexado"
"%d customer(s) was successfully reindexed","%d cliente (s) reindexados com êxito"
"Sold Together","Vendidos em conjunto"
"Frequently Bought Together","Frequentemente comprados junto"
"Bought Together Pro","Comprados Junto Pro"
"Sold Together Pro","Vendidos Junto Pro"
"Enabled","Habilitado"
"Enabled Sold Together Pro","Habilitado Vendido Junto Pro"
"Count Products to Display","Contagem de produtos para Display"
"Count Columns to Display","Contagem de colunas para exibir"
"Show add to cart checkboxes","Visualizar as caixa de seleção de add ao carrinho "
"Customer Bought Together","Clientes que compraram juntos"
"unselect all","Deselecionar Todos"
"select all","selecionar tudo"
"Enabled Amazone Style","Habilitar estilo Amazone"
"Add All to Cart","Adicionar tudo ao carrinho"
"Price For All:","Preço para todos:"
"This Product is Frequently Bought With","Este produto é frequentemente comprado com"
"Add this product to the cart too","Adicionar este produto ao carrinho também"
